resource_geoid,category,count
36081071303,food retail,0
36005032800,food retail,2
36081077902,food retail,1
36081077907,food retail,0
36081017000,food retail,0
36081019400,food retail,0
36047097400,food retail,5
36047044500,food retail,5
36047044700,food retail,1
36047006600,food retail,7
36005051600,food retail,2
36047062000,food retail,0
36047039000,food retail,2
36005034000,food retail,2
36047004900,food retail,0
36047009400,food retail,10
36047009600,food retail,9
36047008200,food retail,8
36047008600,food retail,1
36047117602,food retail,4
36047034900,food retail,1
36047035100,food retail,20
36047064200,food retail,2
36047064400,food retail,2
36081005500,food retail,0
36061011900,food retail,1
36061012500,food retail,0
36081115900,food retail,0
36061022500,food retail,8
36061029300,food retail,10
36047020000,food retail,11
36047020200,food retail,0
36047016800,food retail,0
36005015800,food retail,3
36061003001,food retail,5
36005015200,food retail,2
36047058200,food retail,0
36047055400,food retail,9
36047055600,food retail,3
36047021700,food retail,2
36047083400,food retail,1
36047085400,food retail,0
36005022403,food retail,5
36061001600,food retail,19
36047046201,food retail,1
36005044800,food retail,0
36005034200,food retail,1
36005034400,food retail,0
36047025901,food retail,2
36047025902,food retail,0
36005022404,food retail,4
36081094700,food retail,0
36047098200,food retail,2
36047003000,food retail,1
36081140300,food retail,0
36081061302,food retail,0
36081062300,food retail,0
36081062500,food retail,1
36081074500,food retail,0
36081101700,food retail,0
36081114100,food retail,0
36081045000,food retail,0
36047040300,food retail,0
36081126700,food retail,0
36081122300,food retail,1
36081134100,food retail,0
36047036002,food retail,3
36047056100,food retail,8
36005033201,food retail,4
36081015200,food retail,0
36081020600,food retail,1
36047052700,food retail,6
36081047200,food retail,0
36047093200,food retail,1
36081059000,food retail,0
36081004700,food retail,0
36047090800,food retail,7
36085011402,food retail,2
36047111800,food retail,4
36047052900,food retail,3
36005036300,food retail,10
36081091900,food retail,0
36081092500,food retail,1
36047076600,food retail,0
36061012000,food retail,0
36061012800,food retail,7
36081045600,food retail,0
36005021100,food retail,3
36081050500,food retail,0
36005022800,food retail,3
36005027700,food retail,4
36005027300,food retail,3
