GEOID,category,weighted_score
36005013200,Workforce Development/Job Plus Site,1
36005013200,Workforce Development/Workforce1 Career Center,2
36005013200,NA,NA
36005013300,Center,538
36005013300,Family,2840
36005013300,School,231
36005013300,Store,2340
36005013300,Workforce Development/HRA Job Center,14
36005013300,Workforce Development/Job Plus Site,4
36005013300,Workforce Development/Workforce1 Career Center,9
36005013300,NA,NA
36005013500,Center,526
36005013500,Family,2827
36005013500,School,215
36005013500,Store,2153
36005013500,Workforce Development/HRA Job Center,13
36005013500,Workforce Development/Job Plus Site,4
36005013500,Workforce Development/Workforce1 Career Center,7
36005013500,NA,NA
36005013800,Center,147
36005013800,Family,549
36005013800,School,52
36005013800,Store,428
36005013800,Workforce Development/Job Plus Site,2
36005013800,Workforce Development/Workforce1 Career Center,3
36005013800,NA,NA
36005014100,Center,664
36005014100,Family,2955
36005014100,School,283
36005014100,Store,2706
36005014100,Workforce Development/HRA Job Center,17
36005014100,Workforce Development/Job Plus Site,6
36005014100,Workforce Development/Workforce1 Career Center,10
36005014100,NA,NA
36005014300,Center,688
36005014300,Family,2975
36005014300,School,282
36005014300,Store,2796
36005014300,Workforce Development/HRA Job Center,17
36005014300,Workforce Development/Job Plus Site,7
36005014300,Workforce Development/Workforce1 Career Center,9
36005014300,NA,NA
36005014400,Center,213
36005014400,Family,739
36005014400,School,79
36005014400,Store,565
36005014400,Workforce Development/HRA Job Center,3
36005014400,Workforce Development/Job Plus Site,3
36005014400,Workforce Development/Workforce1 Career Center,4
36005014400,NA,NA
36005014500,Center,563
36005014500,Family,2849
36005014500,School,239
36005014500,Store,2402
36005014500,Workforce Development/HRA Job Center,14
36005014500,Workforce Development/Job Plus Site,5
36005014500,Workforce Development/Workforce1 Career Center,10
36005014500,NA,NA
36005014701,Center,527
36005014701,Family,2800
36005014701,School,220
36005014701,Store,2260
36005014701,Workforce Development/HRA Job Center,13
36005014701,Workforce Development/Job Plus Site,4
36005014701,Workforce Development/Workforce1 Career Center,8
36005014701,NA,NA
36005014702,Center,525
36005014702,Family,2807
36005014702,School,220
36005014702,Store,2237
36005014702,Workforce Development/HRA Job Center,13
36005014702,Workforce Development/Job Plus Site,4
36005014702,Workforce Development/Workforce1 Career Center,8
36005014702,NA,NA
36005014900,Center,523
36005014900,Family,2835
36005014900,School,225
36005014900,Store,2236
36005014900,Workforce Development/HRA Job Center,13
36005014900,Workforce Development/Job Plus Site,4
36005014900,Workforce Development/Workforce1 Career Center,8
36005014900,NA,NA
36005015100,Center,508
36005015100,Family,2823
36005015100,School,214
36005015100,Store,2186
36005015100,Workforce Development/HRA Job Center,13
36005015100,Workforce Development/Job Plus Site,4
36005015100,Workforce Development/Workforce1 Career Center,7
36005015100,NA,NA
36005015200,Center,308
36005015200,Family,1019
36005015200,School,114
36005015200,Store,810
36005015200,Workforce Development/HRA Job Center,6
36005015200,Workforce Development/Job Plus Site,3
36005015200,Workforce Development/Workforce1 Career Center,5
36005015200,NA,NA
36005015300,Center,514
36005015300,Family,2818
36005015300,School,214
36005015300,Store,2134
36005015300,Workforce Development/HRA Job Center,10
36005015300,Workforce Development/Job Plus Site,4
36005015300,Workforce Development/Workforce1 Career Center,7
36005015300,NA,NA
36005015500,Center,514
36005015500,Family,2834
36005015500,School,216
36005015500,Store,2219
36005015500,Workforce Development/HRA Job Center,10
36005015500,Workforce Development/Job Plus Site,4
36005015500,Workforce Development/Workforce1 Career Center,7
36005015500,NA,NA
36005015700,Center,522
36005015700,Family,2812
36005015700,School,216
36005015700,Store,2124
36005015700,Workforce Development/HRA Job Center,10
36005015700,Workforce Development/Job Plus Site,4
36005015700,Workforce Development/Workforce1 Career Center,7
36005015700,NA,NA
36005015800,Center,238
36005015800,Family,848
36005015800,School,90
36005015800,Store,686
36005015800,Workforce Development/HRA Job Center,6
36005015800,Workforce Development/Job Plus Site,3
36005015800,Workforce Development/Workforce1 Career Center,5
36005015800,NA,NA
36005015900,Center,599
36005015900,Family,2908
36005015900,School,267
36005015900,Store,2486
36005015900,Workforce Development/HRA Job Center,17
36005015900,Workforce Development/Job Plus Site,5
36005015900,Workforce Development/Workforce1 Career Center,9
36005015900,NA,NA
36005016000,Center,311
36005016000,Family,1143
36005016000,School,110
36005016000,Store,852
36005016000,Workforce Development/HRA Job Center,5
36005016000,Workforce Development/Job Plus Site,4
36005016000,Workforce Development/Workforce1 Career Center,6
36005016000,NA,NA
36005016100,Center,518
36005016100,Family,2838
36005016100,School,220
36005016100,Store,2213
36005016100,Workforce Development/HRA Job Center,13
36005016100,Workforce Development/Job Plus Site,4
36005016100,Workforce Development/Workforce1 Career Center,8
36005016100,NA,NA
36005016200,Center,309
36005016200,Family,1212
36005016200,School,119
36005016200,Store,885
36005016200,Workforce Development/HRA Job Center,8
36005016200,Workforce Development/Job Plus Site,4
36005016200,Workforce Development/Workforce1 Career Center,7
36005016200,NA,NA
36005016300,Center,495
36005016300,Family,2812
36005016300,School,204
36005016300,Store,2028
36005016300,Workforce Development/HRA Job Center,10
36005016300,Workforce Development/Job Plus Site,4
36005016300,Workforce Development/Workforce1 Career Center,6
36005016300,NA,NA
36005016400,Center,384
36005016400,Family,1616
36005016400,School,156
36005016400,Store,1039
36005016400,Workforce Development/HRA Job Center,9
36005016400,Workforce Development/Job Plus Site,4
36005016400,Workforce Development/Workforce1 Career Center,7
36005016400,NA,NA
36005016500,Center,643
36005016500,Family,2934
36005016500,School,271
36005016500,Store,2645
36005016500,Workforce Development/HRA Job Center,17
36005016500,Workforce Development/Job Plus Site,6
36005016500,Workforce Development/Workforce1 Career Center,9
36005016500,NA,NA
36005016600,Center,373
36005016600,Family,1464
36005016600,School,143
36005016600,Store,975
36005016600,Workforce Development/HRA Job Center,8
36005016600,Workforce Development/Job Plus Site,4
36005016600,Workforce Development/Workforce1 Career Center,7
36005016600,NA,NA
36005016700,Center,540
36005016700,Family,2818
36005016700,School,227
36005016700,Store,2248
36005016700,Workforce Development/HRA Job Center,11
36005016700,Workforce Development/Job Plus Site,4
36005016700,Workforce Development/Workforce1 Career Center,7
36005016700,NA,NA
36005016900,Center,520
36005016900,Family,2826
36005016900,School,221
36005016900,Store,2240
36005016900,Workforce Development/HRA Job Center,13
36005016900,Workforce Development/Job Plus Site,4
36005016900,Workforce Development/Workforce1 Career Center,7
36005016900,NA,NA
36005017100,Center,559
36005017100,Family,2816
36005017100,School,226
36005017100,Store,2358
36005017100,Workforce Development/HRA Job Center,11
36005017100,Workforce Development/Job Plus Site,4
36005017100,Workforce Development/Workforce1 Career Center,9
36005017100,NA,NA
36005017300,Center,708
36005017300,Family,3026
36005017300,School,298
36005017300,Store,2882
36005017300,Workforce Development/HRA Job Center,17
36005017300,Workforce Development/Job Plus Site,6
36005017300,Workforce Development/Workforce1 Career Center,10
36005017300,NA,NA
36005017500,Center,621
36005017500,Family,2897
36005017500,School,265
36005017500,Store,2631
36005017500,Workforce Development/HRA Job Center,17
36005017500,Workforce Development/Job Plus Site,5
36005017500,Workforce Development/Workforce1 Career Center,10
36005017500,NA,NA
36005017701,Center,584
36005017701,Family,2849
36005017701,School,246
36005017701,Store,2491
36005017701,Workforce Development/HRA Job Center,17
36005017701,Workforce Development/Job Plus Site,5
36005017701,Workforce Development/Workforce1 Career Center,10
36005017701,NA,NA
36005017702,Center,548
36005017702,Family,2827
36005017702,School,234
36005017702,Store,2431
36005017702,Workforce Development/HRA Job Center,14
36005017702,Workforce Development/Job Plus Site,4
36005017702,Workforce Development/Workforce1 Career Center,9
36005017702,NA,NA
36005017901,Center,567
36005017901,Family,2839
36005017901,School,244
36005017901,Store,2490
36005017901,Workforce Development/HRA Job Center,14
36005017901,Workforce Development/Job Plus Site,4
36005017901,Workforce Development/Workforce1 Career Center,10
36005017901,NA,NA
36005017902,Center,580
36005017902,Family,2848
36005017902,School,244
36005017902,Store,2496
36005017902,Workforce Development/HRA Job Center,14
36005017902,Workforce Development/Job Plus Site,4
36005017902,Workforce Development/Workforce1 Career Center,10
36005017902,NA,NA
36005018101,Center,609
36005018101,Family,2861
36005018101,School,256
36005018101,Store,2652
36005018101,Workforce Development/HRA Job Center,19
36005018101,Workforce Development/Job Plus Site,5
36005018101,Workforce Development/Workforce1 Career Center,11
36005018101,NA,NA
36005018102,Center,619
36005018102,Family,2867
36005018102,School,264
36005018102,Store,2659
36005018102,Workforce Development/HRA Job Center,16
36005018102,Workforce Development/Job Plus Site,4
36005018102,Workforce Development/Workforce1 Career Center,10
36005018102,NA,NA
36005018301,Center,643
36005018301,Family,2930
36005018301,School,275
36005018301,Store,2677
36005018301,Workforce Development/HRA Job Center,18
36005018301,Workforce Development/Job Plus Site,4
36005018301,Workforce Development/Workforce1 Career Center,10
36005018301,NA,NA
36005018302,Center,621
36005018302,Family,2906
36005018302,School,261
36005018302,Store,2557
36005018302,Workforce Development/HRA Job Center,17
36005018302,Workforce Development/Job Plus Site,5
36005018302,Workforce Development/Workforce1 Career Center,9
36005018302,NA,NA
36005018400,Center,464
36005018400,Family,2098
36005018400,School,190
36005018400,Store,1465
36005018400,Workforce Development/HRA Job Center,10
36005018400,Workforce Development/Job Plus Site,4
36005018400,Workforce Development/Workforce1 Career Center,7
36005018400,NA,NA
36005018500,Center,583
36005018500,Family,2868
36005018500,School,248
36005018500,Store,2485
36005018500,Workforce Development/HRA Job Center,17
36005018500,Workforce Development/Job Plus Site,5
36005018500,Workforce Development/Workforce1 Career Center,10
36005018500,NA,NA
36005018900,Center,575
36005018900,Family,2842
36005018900,School,250
36005018900,Store,2503
36005018900,Workforce Development/HRA Job Center,15
